V200001,V202205 - POST: Most important problems facing the country - mention 1 [text],V202207 - POST: Most important problems facing the country - mention 2 [text],V202209 - POST: Most important problems facing the country - mention 3 [text],V202211 - POST: Most important problems facing the country - most important [text]
340517,division of the people,homeless veterans,poverty in society,homeless
340531,The genocide of aborted babies!,Law enforcement!police need the proper training and judges need to stop being so lenient in sentencing.and sending criminals back into society before their sentence is up.,limit the amount of imagrants into the country each year.,stop abortion
340555,COVIDUNIFYING THE COUNTRY,ECONOMY - MAKING SURE THE COUNTRY IS BACK UP AND RUNNING AND PEOPLE ARE BACK TO WORK,-9,ERADICATING COVID
340593,"neoliberalism, social media",joe biden and kamala harris,increase of people with student debt loans,neoliberalism and social media
340609,"MEDIA BIAS AND THE FAR LEFT PUSHING THEIR AGENDA .FACEBOOK BEING BIAS ,BLAMING POLICE AND CHEERING ON CRIMINALS IS A PROBLEM .BIDEN IS A PROVEN CROOK HARRIS IS AWFUL DEMS LOST THERE MINDS","BILL AND HILLARY ,BARRACK OBAMA ,BLM MOVEMENT IS TERRORISM ,LETTING ANTIFA RUN WILD IS DANGEROUS TO ALL .OREGAN LEGALIZING COCAIN N HERION WTF",-9,OUR FREEDOMS BEING ATTACKED BY FAR LEFT N MEDIA
340647,"HOUSING COST, COLLEGE COST, EVERYTHING IS OUT SOURCED, WE WANT TO TAKE CARE OF EVERYONE BUT CAN NOT TAKE CARE OF OUR OWN, THE PEOPLE CAN NOT TRUST OUR GOVERNMENT, ETC...","HEALTH CARE, IMMIGRATION IS VERY BIAS, AND POLICE HAVE TO MUCH AUTHORITY.",THE U.S. NEEDS TO SET THE EXAMPLE WHEN BETTERING OUR PLANET FOR OUR FUTURE GENERATIONS. SOCIAL SECURITY IS FADING AND NEED TO IMPROVE OUR SCHOOLS IN TECHNOLOGY.,THE LACK OF TRUST IN OUR GOVERNMENT TO HELP ITS PEOPLE.
340722,"Covid 19 pandemic and the economic crisis it has caused, and a government that spends too much time fighting with each other instead of finding fast ways to help the people.",-9,-1,-1
340739,COVID 19 AND JOBS.,CLIMENT CHANGS,POLICING,COVID 19
340784,the presidential election. mail-in ballots ruined the election for the first time ever. i always vote in person like we are suppose to.,immigration.,-9,the election
340807,Climate Change- Lasting climate damange and ongoing pollution will eliminate the future for all,"Social Justice- An all encompassing issue that deals with minority rights, women's rights and sexism, lgbtq rights, and religious favoritism/christian dominionism","Police violence- There is a culture of covering up bad behavior and no accountablility that creates an atmosphere that allows police misconduct, violence, and discrimination without consequences",climate change
340821,Closing down the economy and putting people out of work and causing businesses to go under because of the virus.,China spying on the U.S.,-9,The economy
340890,"unemployment, covid,",covid 19,-9,unemployment
340906,"Job Wages, Food and water sources, Health services, Education, Housing costs, College Tuition cost, Lack of trust in our Judicial and Political system, Capitalism, Big Business Consumerism","Greed, not coming up with clear concise solutions that actually work when implemented. Sustaniable options and setting a higher standard for businesses, especially big business, with their enviromental imprints.",-9,"Lack of isssues and problems actually getting handled and handled in the correct manner, where the people are benifiting, not big business and politicians."
340982,"Debt, Racism",-9,-1,-1
341008,"CovidEconomy Lack of Compassion and Love for one another.America is still a very self absorbed society, but in reality, most of this world is. Some day I hope we can just learn to live with just enough not just America but the whole world. We should be the example of minimalism and contentment, but we won't be.  Why? Because Merica!","Arrogance, we always think we are the best country in the world anyone who truly believes that has never left the states. We must become an inclusive multilingual nation otherwise we will be left behind in so many different advancement that are coming in the very near future.",The education system we must truly invest in our kids education if you have the grades you should be able to addend higher education absolutely free. We should pay for all kids that make the grades no college debt for them.  No matter thier background.,"All of them, we don't have time to himhaw on any of these things anymore. We have effed off on this long enough no more. I have actually been highly considering running for office myself in the next few years if I don't see real change.  I am tired of trying to wake people up."
341022,liberalism govt oversight,democrats trying toundo voting,too much big government,democrats becoming socialists
341039,pandemic response; education; climate change; racism/bigotry,-9,-1,-1
341060,Covid 19 pandemic. We must have a National strategy.,Affordable health care for all Americans.,We need to address systemic racism.,Covid 19
341077,THE ECONOMY IS PUTTING MIDDLE AMERICA UNDERWATER,-9,-1,-1
341183,finding a cure or vacine for covid-19,homelessnes and poverty,race relations,right now we must combat covid-19
341213,Rampant voter fraud and the inability of the Left to see it or accept it with blatant PROOF.Corruption in government,division of the parties,-9,voter fraud
341244,COVID GETTING IT CONTROLED,-9,-1,-1
341299,Getting the COVID pandemic under control and restoring jobs.,"Education - insuring schools are safe, improving graduation rates and test scores.","Political discourse - returning to civility and moderation, providing government officials the freedom to collaborate on bipartisan issues, versus hyper-partisan gridlock.",COVID crisis
341305,"racism, segragtion, education and welfare",everything the pandemic racism,not at the moment,pandemic racism
341336,Environmentalism,Racial injustice,-9,Environmentalism
341343,Trump and the pandemic,unemployment -  people are starving,Trump is bad for this country,covid 19
341381,economy jobspublic educationimmigration,homelessness,-9,economy
341442,-1,-1,-1,-1
341473,"socialism, marxist organizationsracial favoritism",China virus relief,-9,Socialist/Marxist inroads
341503,covid-19 and finding a cure,not now thank you,-9,-9
341527,the way kids are learning. covid-19,I just think its so hard to be accepted for a job due to [REDACTED DETAILS] and i am trying to change not just for myself but for my kids being a single mom i am struggling bad and just wish shomeone would accept me i am not a bad person,-9,kids ways in learning
341558,The economy is in trouble. the bailouts for covid caused harm to our economy.,-9,-1,-1
341596,"Volience, protesting, COVID-19, economy","racism, drugs,",shrinking middle class,Shrinking middle class
341602,COVID-19 - shortage of information from the onset and lack of vaccines,Racial disparity- there is a lack of understanding the problems blacks face on America,Police brutality - Racial inequality,COVID19
341701,Controlling the Covid-19 virus.,Gridlock in Congress,Transfer of Presidential  power.,Controlling the Covid-19 virus.
341718,I think the government is to big and they should be less involved in people's lives. They should keep us safe and not be a nanny state.,I think that the blatant disrespect authority is very troubling. Law and Order!,-9,Not supporting law enforcement.
341725,Securing the borders.,Reliance of American People on Government subsidies.,Covid 19 spread in the US.,The spread of Covid 19 in the US.
341732,the pandemic,-9,-1,-1
341749,not sure what to name,not at this moment i can not,no i can not think of any,probably would be the low incoming facing hard times
341770,TO STOP LETTING PEOPLE RIOT OUR COUNTRY AND LIE AND HURT PEOPLE,GET TRUMP BACK IN OFFICE,-9,THE WAY WE ARE GOING TO A SOCIALIST STATE AND LETTING BLACK LIVES MATTER RUN OUR LIVES. ALL LIVES ARE IMPORTANT
341787,two party political system,manipulation of the minority republican party to rule the majority,-9,two party system
341800,Removing GOD from just about everything in our society.LyingStealingGreedKilling of the unborn,"the removal of the Holy Bible from our society, schools, the work place, anywhere that God's word convicts man's need of him.","The lost of respect to one another, this is a moral problem, no political party can fix that.","Removal of God, the true and living God and his son Jesus."
341831,WORKING TOGETHER,WORKING TOGETHER,-9,WORKING TOGETHER
341886,"The virus, Uniting the country",-9,-1,-1
341923,"Pandemic, Foreign Relations",-9,-1,-1
341930,covid 19 it needs to be contrloed and the hodpitals need to fo a better b threating covid patients,-9,-1,-1
341954,economy  quit supporting lazy people,division among races,-9,economy
341992,pandemicproblems with election securityopening our economy,-9,-1,-1
342025,"police brutality, donald trump, ice holding kids in cages and families apart, clumate change control, covid control, equilty between men and women trans or not, taxes need to be even","abortion laws, and gun control",-9,covid
342056,"Covid and unity among americans. Too much hate, too much racism",-9,-1,-1
342063,COVID 19 and the lockdowns resulting in unemployment.,The rioting that has resulted in destruction and death.,Race relations and the need to respect each other no matter what ethic group.,Race relations.
342070,health care -- not everyone has it.  also climate change,"climate change, economy, inequality",-9,pandemic
342124,-5,-5,-5,-5
342179,Dealing with COVID-19,Systemic racism present within the police,-9,The COVID-19 problem
342186,"Covid-19, racism, transparency",Use of national funds,Police. Police need more training on handling suspects,Covid-19
342193,"Welfare of children, women and people of color",economic inequality,systemic racism,economic inequality
342216,Pandemic Unemployment,Small business closings,Racial bias,Unemployment
342247,economics getting people back to work,The corona virus,gangs inthe big cities,the riotes in the big cities
342261,"Covid, our countries response to this.",Illegal immigration,Partisan politics,covid
342339,"Pent up anger.Deficit of critical thinking.Not even hearing the ""other side"" out.","On the broader front:National Debt, Energy Crisis, lack of jobs for uneducated Americans, low living wages, international terrorism, lack of access to education, international brinkmanship (Iran, DPRK, Russia, etc), social issues of race, gender, and sexuality, immigration (people incoming and those already here), cyber security, nuclear proliferation, global epidemics, the list can go on...",aging infrastructure,"Diffusing the built up tension in the political climate, otherwise the government cannot functionally address these highly complex issues."
342360,The pendemic is the most important problem in this world.,No answer at the moment.,No not that I know of.,I just said the pendemic.
342414,"unemployment, not enough jobs, the states keep going on lockdown.",-9,-1,-1
342438,values regarding HUMANITY,value money more than people,under value importance of a good education,severly undervalue need for personal welfare and justice.
342469,"Race and equality, wage disparities and health care",-9,-1,-1
342483,pushing socialist agenda,corruption within government,religious liberty at risk,socialist agenda
342544,pandemic - covid,"jobs, the ecomony, people need to get back to work",-9,getting a vaccine thats reliable and getting people back to work
342551,Journalists need to focus on the good and kind things people are doing for each other. We need to be selfless with others.,-9,-1,-1
342698,"Keeping manufacturing here with low corporate taxes and less regulations, either that or they will LEAVE the USA. You asked problems (plural) but want me to only name one?","Identity politics, it is PURE POISON.  It has to stop.",We need to get out of all foreign wars and entanglements.,"Identity politics, pure poison."
342711,not sure,black lives matter covid 19,covid19,pandamick
342728,"healthcare and reforming ACA, economy due to covid, amall businesses",actually helping middle class family particularly with subsidized daycare,healthcare economy,economy
342742,rise of left views /ideology,manipulation of news - massmedia and social networks getting to much affiliated to a certain party,healthcare costs,rise of left views
342797,"covid, rent spikes, low minimum wage, implicit bias",-9,-1,-1
342803,i don't know what they are,-9,-1,-1
342834,"Systemic Racism as indicated in non diversity, inequity and lack of inclusion in housing, education, hunger issues, immigration, role of women in business, medical systems...",Climate warming,Power struggle; inability to compromise,Systemic RAcism
342896,"climate change, raise taxes on the wealthy, repeal Citizens United to prevent big money from buying our elections, term limits for congress, prosecute Donald Trump, secure elections from foreign interference","Fight COVID-19, protect animals, land and national/state parks, protect Roe v Wade, sensible gun control, make gerrymandering illegal, stop voter suppression, get kids out of cages",-9,upper class and big businesses paying fair share of taxes
342902,"Controlling Covid ,",healthcare and the supreme court decision to get rid of it this week,climate change and getting back into thr Paris agreement,Covid and controlling the pandemic
342919,"The top problem is the military budget and this country’s perpetual War Culture.  Regardless of the political party in office, we’ve been at war for the last 30 years.  Other issues are massive opiate addiction, the useless national media owned by five or six corporate organs, and the elimination in higher education of a true, meaningful liberal arts education.",The covid lockdown restrictions have destroyed the economy ... and I don't see it coming back.,the governors and mayors response to covid are seriously impacting our Constitutional rights,The perpetual War Culture in this country ...
342940,The corona virus,The economy is suffering because of the virus.  So many jobless people,-9,The virus
342964,Coronavirus-- we need to get the pandemic under control. We have a lack of leadership. Related to this-- the country is too divided and polarized.,Economic stability and recovery after the coronavirus is solved.,We have a divided country-- it is too polarized in views. The parties are not working together at all,"Long term, I believe the economy is the most important issue."
343035,Systemic racism. We have a lot of work to do to stop racial discrimination.,"Handling of the pandemic and it’s affect on jobs, poverty, etc.",The destruction to the planet and the environment.,They are all urgent and important.
343066,i believe that right now the most important problems that the country is facing is economic impact the pandemic has caused on the working class (blue-collar working class).,-9,-1,-1
343097,democracy...the continual attempt to suppress voting rights and the abuse of the rule of law and children in cages and the refusal to work with allies and blanant racist behavior...i could go but im tired just thinking of it all,race and unity,-9,the ability to honor the principles of democracy
343127,#1 President Trump and #2 his team of republicans,Police are not fair with black or brown,We are in despret need of financial help. NOW!!!,Finacial help
343134,COVID,economy,global climate,COVID
343158,COVIDImmigrationRace,Race RelationsWelfare,War on Drugs - prison vs treating drugs like an addiction,COVID
343196,socialism control,control of illegal aliens,the virus increase,the virus increase
343219,division of people based on beliefs,violent riots posing as protests,-9,division
343257,Trump and his refusal to leave office after his defeat is our most important and most terrifying problem.,The corona virus pandemic.  Our country needs federal action to unite us into common action.,Healthcare for everyone.  Our changing climate and environmental issues.  Race relations.  Guaranteed abortion rights.,Donald Trump
343264,Jobs and working,Civil Defense China,High Cost of Health Care,Number One
343288,HEALTHCARE AND PHARMA COSTS,SYSTEMIC RACISM,PEOPLE ELECTED DONALD TRUMP TO BE THE POTUS. THIS IS A HUGE PROBLEM.,THE HIGH COST OF HEALTHCARE AND MEDICATIONS
343325,-9,-1,-1,-1
343349,Division of the people,Military Veteran Benefits,Separation of powers within the government,Division of people within the country
343387,too many liberals. too many that riot or march.,already stated,none come to mind at this moment,I already stated a few problems
343417,Getting the COVID pandemic under control,Getting the economy growing again.,Unifying the many disparate groups and healing the divisions amplified by Trump,Getting control of the pandemic
343479,pandemic,-9,-1,-1
343554,Polarized political views,"Inability to work together to solve problems.  Both parties working with a ""gangland"" mentality.",-9,Inability to work together to solve problems.
343578,THE POLARIZATION OF AMERICANS....SOCIALISTS VS CAPTALISTS,TREMENDOUS COST OF HEALTHCARE,THE THOUGHT OF DEFUNDING THE POLICE IS TOTALLY CRAZY!,THOSE WHO WANT EVERYTHING FREE AND NOT WORK TO EARN IT AND THOSE WHO WORK HONESTLY AND LIFE GETS HARDER FOR THEM BECAUSE OF IRRESPONSIBLE GOVERNMENT PAY OUTS!
343585,White supremacy,"Healthcare, taxes and police brutality.","Healthcare, taxes, and police brutality.",Police brutality. Killing black people.
343592,racial division  corona virus,-9,-1,-1
343622,"COVID 19, the economy, jobs, safety",-9,-1,-1
343646,Getting back to normal and no more shut downs,keeping taxes down keeping us non-dependent on other countrys for oil,helping small business get through this pandemic,keeping taxes down
343660,Climate change poses a threat to earth's biodiversity and long term ecological stability and we are on the cusp of irreversible change if we don't act.,"Socio-economic inequality reduces opportunities for large portions of the nation's population, and disproportionately affects communities of color and women.",Many citizens lack basic access to healthcare.,-9
343707,The way Covid 19 has been mishandled by the current administration,getting the economy back on track and helping those people and businesses during this tough time,racism and the hateful retoric that we have had for the last 4 years,we have to deal with the national pandemic before anything else can be fixed
343745,lack ov money. ran out of unemployment money.,"peoples dying, facing bankrupt.",unemployment rates,covid
343769,covid19 lack of info,-9,-1,-1
343776,"This country losing its Christian background and history.  All  lives matter, we need tolove and embrace each other.  Financial problems, jobs, etc.",-9,-1,-1
343783,welfare and safety of the citizens,racism has divided the country,-9,safety of the residents
343806,"healthcare, climate, diversity",-9,-1,-1
343813,-1,-1,-1,-1
343882,Division of the American people,Economic inequities,Systemic Recism,Division
343981,The pandemic: no leadership in the White House combating the growing problem and surges of Covid.,"Undermining our democracy by Trump and his followers by not conceding, putting doubts and conspiracy theories in American minds of a fraudulent election,  only causing adn stoking the fire of hatred and division of the American people.","Current administrations rhetoric and support of racist and white supremacist groups, causing further divide that is based on racism not just poltical divide. As well as, growth of conspiracy and homeland terrorist groups.","The acceptance and growth of racism groups, growth of gun toting white supremacists, creation of conspiracy groups such as Qanon."
343998,RacismUnemploymentHealthcare,environment global warmingmental health,covid pandemichomeless,covid
344014,"Distrust in science, Biased media, People getting their information from Facebook rather than from experts, Systematic racism, Radicalism, the opiod epidemic",-9,-1,-1
344083,"getting Covid 19 under control so we can get back to work, play and live our lives.","Help the homeless, getting everyone back to work, help our veterans, DACA.","Abortion, Obama Care",Covid 19
344090,The two party system,"Covid-19, science denial, the wealth gap, unemployment, classisim, voter suppression/ fraud.",-9,The two party system
344113,"COVID19EconomyLaw enforcementEquality for all people for:  good education K-12,  good paying jobs and RESPECT",Campaign donations from Corp America and the very rich!,Climate change!,COVID19
344168,Racism among different ethnicities.,Our healthcare system needs a lot of work and improvement.,C-sections and infant mortality rate.,Racism because it is dividing our country and people.
344267,"ECONOMICS, RACISM, RIDICULOUS LAWS LIKE BAIL REFORM, WAR",YOUNG AMERICANS SENSE OF ENTITLEMENT,-9,ECONOMY  IF MORE PEOPLE HAD JOBS THEY SHOULD BE HAPPIER. BUT MANY REASONS PEOPLE DON'T HAVE JOBS. VERY COMPLEX
344373,Global warmingPandemicBig money in politicsFires,Racial injusticeeconomic equalityglobal warming,-9,pandemic
344380,wealth inequality,cost of heathcare,climate change,climate change
344397,"Corona virus,  economy, health care, civil unrest and division,  corruption and dishonesty of political figures","Immigration:  I am afraid that if democrats win the presidency, my tax dollars will be used to pay for immigrants and illegal aliens healthcare.  This is a big, big deal to me.... as I have always worked very hard and my kids had health insurance.  However , I am a single mother and I am not even considered middle class according to my income.  I had to chose between groceries or paying co pays or deductibles when my kids were sick and needed medical care.  I have tons of doctor bills that I can not pay.  But my tax dollars will pay for them to have free medical care.  I do not want to pay for Mexican women to come the United States and have babies.  I had to pay medical bills to have my kids.",College education is unaffordable. I am a [REDACTED DETAILS] going to college and I can only take one class at a time because that is all my financial aid will pay for.,coronavirus
344496,"The economy and lowering unemployment numbers, creating a vaccine to the COVID-19 pandemic, and creating a safe environment for people to live normal lives - working regular jobs, enjoying normal social events and customs, and being able to provide for our families and communities.","Creating a fair immigration process that is publicly understood by all Americans. The two parties have different outlooks on this, and we need look to our neighbors and allies around the world for guidance on what stance we should take on this issue.",-9,Getting America back to normal in terms of health and economy
344533,"Trust, honesty, motive, lack of open minded thoughtful problem solving.",The biggest problem to this county is corruption and the lure of big money for expanding misinformation on the media. The climate and natural resources are very concerning. Until we can manage our failures as a country and gain the trust of the people we are on the fast track to distastes that will cause world wide chaos.,"Mistrust. We no longer can define what the ""Truth"" is. Lawyers have made that impossible to understand, so we now have to depend on what the truth is that we as human beings is. The real truth is in each one of us, we all know when we lie, it's in each one of us. The problem is telling a lie and getting paid for being right. We need to push the restart button on our souls.",Social Media.
344540,ratialism - black & white fighting -,people not listeng all want to fo is cause riots,-9,people causing unnessary fighting and riots showing no respect to our country anymore
344564,Human Rights and Justice,Covid pandamenic,-9,Human rights
344649,"corona virus, the delta between the rich and poor, taxes",-9,-1,-1
344779,polarization - I think we are becoming more divided as a country and fogetting that we probably agree way more frequently than we don't,Growing contingent of fascist ideals,Groups of people being marginalized,polarization
344786,"the ""news"" media. instead of becoming impartial reporters of factual events they are now more like a tabloid looking for sensationalism and inciting hate and discontent","instead of becoming a country United, it would appear that politicians and media are attempting to divide us all into racial and ethnic groups and turn us all against each other",we need to be able to raise our families without both parents having to work two jobs,"the news and social media turning everybody against one another whether it be politically, through gender or race or ethnicity"
344793,Covid19 confusion and distrust of the government to keep us safe,-9,-1,-1
344816,Police brutalitySocial injusticeHealthcareEmployment,-9,-1,-1
344878,covid 19...this virus is killing people. n now im scared to get any vaccination.,immigration. its seperating families,no i can not think of any other problems at the moment,this virus. its got everyone paranoid.
344885,"coronavirus, democratic socialism, untrustworthy news media with their own agenda, corruption in government,","threats from other countries to our freedom, war",democratic socialism,democratic socialim
344892,Federally legalize marijuana Covid Workers rights Rich paying fair share of taxes Imigration Health care Medicare,No bipartisionship,-9,Both sides working together
344908,we are not taking climate change seriously enough,treatment of the poor,-9,climate change
344915,"The government is self-serving and out of touch with the people who put them in their positions.To that end, there should be term limits for every government position.",Hunger and homelessness.,Racial tensions.,Racial tension
344922,socialism - mob mentality of left.,election irregularities.,national debt.,socialism. corrupt politicians willing to do anything to protect their own interests before the interests of the country. selling out country to control citizens.
344939,racism,immigration issue for daca,education loan for internayional student,racism
344977,Breakdown of the family Unit,The number of black babies that are aborted,Mounting Deficit,Breakdown of the family unit
344991,blackblives matter,no,-9,racisim
345017,The extreme left of the democratic party...Socialism,Lack of unbiased news reporting....disinformation.,"Filtering of information by the tech giants....e.g. facebook, twitter, google search results, etc.",Socialism
345062,They need to stop tis covid pademi,-9,-1,-1
345079,"Illegal immigration, birth tourism, job loss to other countries, too many people on welfare, sanctuary cities, rich not paying fair share of taxes.","Birth tourism. US birthright citizenship is being abused by nationals of other countries (China, Russia, etc).","Job loss to other countries like India, China.",Illegal immigration
345093,coronavirus needs to be addressed,stimulus money needs to be approved,-9,coronavirus
345123,Socialism and the profesors teaching the young people in college,The fight between political parties,-9,The political parties should work more together
345178,"Divisive political rhetoric, a false narrative on science, hate speech, income disparity, COVID-19, education, climate change, reproductive rights.","Trump, his family and his political allies",-9,"Transition of power, Trump"
345208,disunity of American people,covbid19 better control,raciaL prejudice,partisan politics
345215,the covid-19 concerns,no i cant,not enough vaccines for covid,im not sure
345253,There is an unfair treatment of minorities in thid country,I think this country tend to over look the poor and homeless.,The healthcare for U.S citisen should better.,unfair treatment if minorities.
345260,The cost of Health care is prohibitive,Politicians care more about the party than the people,race relations and police relations with minorities,health care
345321,"Foreign policy, let's bring our troops back and end wars.","Government is too big, too many regulations and tax breaks for the rich/big businesses.",-9,Foreign policy
345352,"COVID-19 is rampant, but a lot of people ignore the guidelines",Gridlock in Congress,-9,COVID-19
345475,The division between liberals and conservaties,Racial inequality,Regulations regarding global warming,The difference in viewpoints of liberals and conservatives
345512,COVIDSeperation of Immigrant children,violence and school shootings/ shootings in public places,-9,COVID
345536,Corona viruses,-9,-1,-1
345567,inequality and racism,covid-19 is the biggest problem now,-9,covid 19
345574,Pandemic..... Division....Unemployment....,Police Reform-,"Global Warming- Fires, floods, drought",Pandemic
345581,"climate change  need to explore different ways of utilizing energy,  reducing or eliminating carbon fueled vehicles",white supremacy and police,racial inequality,climate control
345598,covid 19 pandemic,-9,-1,-1
345611,"BLM and Antifa rioting, looting and destroying our great Country. Division in this Country...not supporting our elected President and the American Flag.",Corruption in the Democratic Party.,Foreign interference. Treason by high elected officials for personal gain.,Election fraud.
345642,Poverty and crime in urban areas,-9,-1,-1
345659,The radical Left,Covid-19 lockdowns,legalized abortion,the radical Left
345802,"Covid epidemic!    Higher taxes sending more companys to China!   Getting rid of the gas companies, losing jobs here!!","The news only reports part of the stories, Not the full story!!!! Especially when it comes to the police! The news doesn't show why the person was in trouble in the first place!","Black Lives Matters has gotten out of hand!! White lives Matter also!! And letting the protester get a way with destroying statues and burning things!   I am not going to appologize for things that we had no control over 100 years ago, it's part of history and should be left that way!!!!",Right now the Covid!! And people out of work with no income and the idiots fighting over the stimulous bill that we so deperately need right now! It's not effecting their lives in their high paying jobs!!!!!!!!!!!!!!!!
345840,socially profiling,systematic homelessness,police brutality,systematic racism
345857,"pandemic is a major problem, so many people have died from this disease.",Election disturbance between Biden and Trump.,turmoils with the election and pandemic,"Covid 19 killing people, no cured."
345871,"covid, race relations, policebrutality, environment/global warming, women’s rights, living wages, medicare, social security and usps funding issues, college debt/student loans, unemployment rate, affordable health insurance for all citizens of the USA, immigrantion policies and procedures.",-9,-1,-1
345901,Lack of unity in society,Rollout of the COVID vaccine,-9,Lack of unity in society.  Political devisiveness.
345918,wealth disparity.     health insurance.  abuse of power in law enforcement.    campaign financing. partisan politics. racism. covid-19.,money corruption in politics,hard line partisan politics,partisan politics
345949,maintaining our democracy,race inequality,division of parites,maintaining democracy
345956,i dont know,-9,-1,-1
345970,With president elect Biden this country will become socialist.,-1,-5,-5
345987,Democratic party,"BLM, defunding the Police",-9,Democratic party
346041,racist poor government,politicians need to have no dirty laundry they should be squeaky clean no drugs use or anything nothing that will reflect badly on them,politicians need to have no dirty laundry,race
346065,Covid - not sure I need to say more...?,Global warming warming up the globe,-9,Covid
346102,"Racism, income equality, debt",The lack of attention toward the importance of human services and nonprofit healthcare employees and applicable clients.,Political influence,Racism!
346133,DIVERSITY RACE RELATION,HEALTH CARE,-9,RACE RELATIONS
346157,"Until we get Covid 19  under control, we cannot move forward as a country.",Racial and Political division,-9,Covid
346164,"Most of the citizens ( I""m told 30 percent of Democrats too)  are passionately concerned about the governments inability to protect free elections and our constitutional rights.  The citizens cannot believe that such a corrupt election could take place in the US and the main stream media is not talking about it  and investigating.  The media is all left.  The FBI is not investigating the election fraud ( left) .   If DNC gains power through foreign intervention and corruption ,  some honest Americans will demand investigations,  action and answers.  This senerio is just like what happened in Venezuela, I was there years ago.","The FBI and to some extent the DOJ have been attacking Trump for 4 years ( impeachment).  The Democrats weaponized the FBI against the incoming president.  OB 'Biden  weaponized the IRS against conservatives.  These are high level crimes that go unpunished and the honest American people, that do not break laws, want to put a stop to it.",Politicians promising everything for free,An unfair election that puts socialists ( who take money from China) into the white house.  Then they pack the courts and rule by executive order and we end up with a one party system that answers to no one ( Fake Elections like Venezuela).
346249,divisiveness. The POTUS has really magnified this problem,-9,-1,-1
346270,"The change in the Republican Party and its moves against immigrants, blacks, the environment, health care and the betterment of society--all in the name of would-be despot Donald Trump.",Racism and hate and the desire for revisionist history,The growing economic divide and shrinking of the middle class.,"The first item mentioned.  The Republican Party's move away from decency and love of country in favor the lies, corruption, anti-societal legislation and racist actions and rhetoric of Donald Trump.  They have taken this country in the wrong direction and sowed the seeds of divisiveness."
346294,socialism,-9,-1,-1
346300,global warming and carbon oxygen fuel cell technology,income inequality and the growing gap between people of color and the ruling class,gender inequality,global warming
346324,"Coronavirus is definitely the most important issue facing the country, but beyond that, getting Trump out of office and attempting to maintain the economy on the brink of collapse is a close second.",Health Care. The lack of affordable care due to Big Pharma is getting out of control.,Wages stagnating and general inflation continuing to rise.,"Looking to the Future of the People, rather than the politicians worrying about their own personal lives and agendas and the rich who lobby for them."
346331,"Concern and respect for others, truth, end to Covid-19","Honestly my big thing now is looking out for each other - could be anything - listening to other views in a respectful way, wearing a mask to stop the spread, delivering truth to the public.","Everything with Covid-19 - economy, unemployment",immediately would be getting Covid-19 under control
346430,"covid, jobs, Congress","unemployment  lack of jobs, and working wage is a joke ...",-9,unity
346461,"ICE I think we need to take the people out of the cages and return them to their families I also think we need to find the thousands of missing children that have been getting taken ""care"" of by ICE","Covid-19, we need to keep standing up for BLM, we also need to take care of ICE because they have people in cage and thousands of missing childern",we also need to help women do what they want with their bodies and let no one tell them what to do with it,All of them
346492,The fighting between the parties.,the vires It is killing peaple,-9,-9
346515,election fraud. the economic recovery. socialists in congress. the china virus.,illegal immigration.,-9,election fraud.
346539,covid its not being handled,police brutality,-9,-9
346591,"Unity, equality , injustice, racism",earlier i meant the issue that there is no unity amongst people - thats a big problem,-9,injustice
346652,too many to list,theres too many to discuss,theres too many to discuss,theres too many problems were facing at once
346669,People no longer know how to compromise to come to solutions benefiting for all,The economy,The coronavirus,People can't compromise
346751,"covid is causing a strain on businesses, schools, mental and physical health","disrespect for differences among people, for religion, for race, for the police","too much money spent on elections and not enough for people in need, schools, organizations that help people, mental health",spending money in the wrong places
346799,kids being dumbed down in public schools to allow( & ask )for there consitutional rights to be taken away,trying to turn a free country into the shit holes they ran from,taxing the poor & middle class to the point they are poor while the people who should be working for us is only hurting the real american the working middle class,fraud & big people in high places screwing the little guy
346812,healthcare suck! too much violence and hate,-9,-1,-1
346843,Keeping the economy open and growing despite the presence of a vaccine.,tremendous amount of debt incurred due to Covid-19Biden is weak and always wrong when it comes to foreign affairs,-9,Engrained politicians looking out for their own self interests.
346881,stopping the spread of the corona virus,Hatred and division of people,-9,spread of corona virus
346911,"Being divided - not working together, too much hate",Equality - equal rights without,-9,both
346928,media doesnt tell the truth.,To much hate in this country mainly becouse of media hate mongers.Dont get it.,-9,media
347044,I believe the biggest problem is the country is the neglect of God’s instructions and importance of a family has been divided and destroyed.,The lack of consequences for illegal actions,The amount of social platforms for people to speak from causes mass confusion and therefore it facilitates hatred.,The lack of morality in our country
347082,coronavirus pandemic,-9,-1,-1
347105,The Covid19 Pandemic - and the lack of any federal oversight or guidance regarding the pandemic,"The attempted coup by the President of the United States, Donald Trump, and the attack on democracy",Wealth Inequality and crippling student loan debt,The Covid19 pandemic
347136,unemployment rates are rising,-9,-1,-1
347167,dont know any problems,-9,-1,-1
347228,racial injustice,-9,-1,-1
347235,divisiveness!   Parties not working together for people,"economy due to Covid, media bias",-9,divisiveness
347242,Economy. Businesses being shut down and people losing their jobs during this Covid pandemic,"Health care. It needs to be provided to everyone as a service like the police, fire dept., etc",Disinformation and the attack on media/journalists,Economy is probably the biggest but disinformation is eroding the country from the inside
347280,covid 19 mishandled,unemployment figuers every week,the hate that has erupted in this country,covid 19
347297,"racial inequality, food security, racism",-9,-1,-1
347303,"Poverty, Greed, Corruption",Racism is tearing the country apart.,Covid 19 putting our economy at a halt.,Racism
